code,minutes,points_per_game,web_name,team_code,element_type,season
461195,0,0.0,Cirkin,56,2,2025-26
477547,0,0.0,Hjelde,56,2,2025-26
492066,0,0.0,Huggins,56,2,2025-26
514613,0,0.0,Johnson,56,2,2025-26
167512,0,0.0,O'Nien,56,2,2025-26
465702,0,0.0,Pembele,56,2,2025-26
434399,0,0.0,Reinildo,56,2,2025-26
519634,0,0.0,Seelt,56,2,2025-26
535818,1081,2.1,Adingra,56,3,2025-26
547027,0,0.0,Diarra,56,3,2025-26
124165,0,0.0,Roberts,56,3,2025-26
626844,0,0.0,Aleksić,56,3,2025-26
484420,0,0.0,E.Le Fée,56,3,2025-26
461199,0,0.0,Mundle,56,3,2025-26
223336,0,0.0,Neil,56,3,2025-26
215460,0,0.0,Poveda,56,3,2025-26
554197,0,0.0,Rigg,56,3,2025-26
577669,0,0.0,Sadiki,56,3,2025-26
549912,0,0.0,Talbi,56,3,2025-26
477851,0,0.0,Ba,56,3,2025-26
171422,0,0.0,Browne,56,3,2025-26
458297,0,0.0,Ekwah,56,3,2025-26
547410,0,0.0,H.Jones,56,3,2025-26
493837,0,0.0,Matete,56,3,2025-26
500696,0,0.0,Triantis,56,3,2025-26
437505,0,0.0,Isidor,56,4,2025-26
564406,0,0.0,Mayenda,56,4,2025-26
611975,0,0.0,Abdullahi,56,4,2025-26
551153,0,0.0,Luís Hemir,56,4,2025-26
440955,0,0.0,Rusyn,56,4,2025-26
84450,0,0.0,Xhaka,56,3,2025-26
