ID,Min,PPG,Tot Pts,birth_date,Player Name,team_code,team_join_date,Position,season,New In League,New In Team,time_in_league,max_minutes_in_position_past_season,max_minutes_by_signing_past_season,avg_ppg_position_team_high_minutes,points_last_season,avg_points_last_2_seasons,avg_points_last_3_seasons,minutes_last_season,avg_minutes_last_2_seasons,avg_minutes_last_3_seasons,minutes_last_season_same_team,avg_minutes_last_2_seasons_same_team,avg_minutes_last_3_seasons_same_team
15157,1056,1.7,44,,Milner,14,,MID,2020-21,False,False,4,,873.0,,2.2,2.75,2.6333333333333333,924.0,1351.0,1487.0,924.0,1351.0,1487.0
15157,844,1.6,38,,Milner,14,,MID,2021-22,False,False,5,,1851.0,,1.7,1.9500000000000002,2.4,1056.0,990.0,1252.6666666666667,1056.0,990.0,1252.6666666666667
15157,889,1.4,42,,Milner,14,,MID,2022-23,False,False,6,,990.0,,1.6,1.65,1.8333333333333333,844.0,950.0,941.3333333333334,844.0,950.0,941.3333333333334
15157,770,1.9,28,,Milner,36,,MID,2023-24,False,True,7,3240.0,,3.8200000000000003,1.4,1.5,1.5666666666666667,889.0,866.5,929.6666666666666,,,
15157,170,1.5,6,1986-01-04,Milner,36,2023-07-01,MID,2024-25,False,False,8,,2220.0,,1.9,1.65,1.633333333333333,770.0,829.5,834.3333333333334,770.0,770.0,770.0
15208,0,0.0,0,,Schweinsteiger,1,,MID,2016-17,False,False,0,,,,,,,,,,,,
15237,1800,2.0,44,,Surman,91,,MID,2016-17,False,False,0,,,,,,,,,,,,
15237,1851,3.3,82,,Surman,91,,MID,2017-18,False,False,1,,,,2.0,2.0,2.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
15237,1438,2.0,36,,Surman,91,,MID,2018-19,False,False,2,,3420.0,,3.3,2.65,2.65,1851.0,1825.5,1825.5,1851.0,1825.5,1825.5
15237,234,1.2,6,,Surman,91,,MID,2019-20,False,False,3,,2505.0,,2.0,2.65,2.433333333333333,1438.0,1644.5,1696.3333333333333,1438.0,1644.5,1696.3333333333333
15276,1105,2.6,37,,Barton,90,,MID,2016-17,False,False,0,,,,,,,,,,,,
15633,0,0.0,0,,Baptiste,25,,DEF,2016-17,False,False,0,,,,,,,,,,,,
15749,0,0.0,0,,Hart,43,,GK,2016-17,False,False,0,,,,,,,,,,,,
15749,1710,3.1,59,,Hart,21,,GK,2017-18,False,True,1,1980.0,,3.55,0.0,0.0,0.0,0.0,0.0,0.0,,,
15749,1710,3.6,69,,Hart,90,,GK,2018-19,False,True,2,3114.0,,4.3,3.1,1.55,1.55,1710.0,855.0,855.0,,,
